sku,group_skus.0
OP2003-BK-TAG,variant-451
OP2003-DKBR-TAG,variant-451
OP2003-DKGR-TAG,variant-451
OP2003-GY-TAG,variant-451
OP2003-LM-TAG,variant-451
OP2003-NB-TAG,variant-451
OP2003-OR-TAG,variant-451
OP2003-PB-TAG,variant-451
OP2003-RD-TAG,variant-451
OP2003-TQ-TAG,variant-451
OP2003-WH-TAG,variant-451
OP2003-WW-TAG,variant-451
OP2003-BK-2-TAG,variant-456
OP2003-DKBR-2-TAG,variant-456
OP2003-DKGR-2-TAG,variant-456
OP2003-GY-2-TAG,variant-456
OP2003-LM-2-TAG,variant-456
OP2003-NB-2-TAG,variant-456
OP2003-OR-2-TAG,variant-456
OP2003-PB-2-TAG,variant-456
OP2003-RD-2-TAG,variant-456
OP2003-TQ-2-TAG,variant-456
OP2003-WH-2-TAG,variant-456
