sku,fields.weight.value,fields.package_height,fields.package_width,fields.package_length,fields.height.value,fields.width.value,fields.length.value,fields.package_weight,fields.abn_size,fields.target_color,fields.target_sku,fields.frame_color,fields.color,fields.size
OP2016-GY-TAG,162.0,24.0,37.0,5.0,34.5,28.25,24.25,184.0,,Gray,WWT209273,Gray,Gray,
OP2016-NB-TAG,162.0,24.0,37.0,5.0,34.5,28.25,24.25,184.0,,Blue,WWT209275,Blue,Navy Blue,
OP2016-TQ-TAG,162.0,24.0,37.0,5.0,34.5,28.25,24.25,184.0,,Blue,WWT209281,Blue,Turquoise,
OP2016-WH-TAG,162.0,24.0,37.0,5.0,34.5,28.25,24.25,184.0,,White,WWT209282,White,White,
OP2016-WW-TAG,162.0,24.0,37.0,5.0,34.5,28.25,24.25,184.0,,Brown,WWT209283,Brown,Weathered Wood,
OP2017-BK-TAG,57.0,24.0,37.0,5.0,34.5,28.25,24.25,64.0,,Black,WWT209284,Black,Black,
OP2017-DB-TAG,57.0,24.0,37.0,5.0,34.5,28.25,24.25,64.0,,Brown,WWT209285,Brown,Dark Brown,
OP2017-GY-TAG,57.0,24.0,37.0,5.0,34.5,28.25,24.25,64.0,,Gray,WWT209287,Gray,Gray,
OP2017-NB-TAG,57.0,24.0,37.0,5.0,34.5,28.25,24.25,64.0,,Blue,WWT209289,Blue,Navy Blue,
OP2017-TQ-TAG,57.0,24.0,37.0,5.0,34.5,28.25,24.25,64.0,,Blue,WWT209295,Blue,Turquoise,
OP2017-WH-TAG,57.0,24.0,37.0,5.0,34.5,28.25,24.25,64.0,,White,WWT209296,White,White,
OP2017-WW-TAG,57.0,24.0,37.0,5.0,34.5,28.25,24.25,64.0,,Brown,WWT209297,Brown,Weathered Wood,
OP2021-BK-TAG,46.75,22.0,34.0,7.0,36.75,29.5,33.0,53.0,,Black,WWT209996,Black,Black,
OP2021-DB-TAG,46.75,22.0,34.0,7.0,36.75,29.5,33.0,53.0,,Brown,WWT209997,Brown,Dark Brown,
OP2021-GY-TAG,46.75,22.0,34.0,7.0,36.75,29.5,33.0,53.0,,Gray,WWT209999,Gray,Gray,
OP2021-NB-TAG,46.75,22.0,34.0,7.0,36.75,29.5,33.0,53.0,,Blue,WWT210001,Blue,Navy Blue,
OP2021-TQ-TAG,46.75,22.0,34.0,7.0,36.75,29.5,33.0,53.0,,Blue,WWT210007,Blue,Turquoise,
OP2021-WH-TAG,46.75,22.0,34.0,7.0,36.75,29.5,33.0,53.0,,White,WWT210008,White,White,
OP2021-WW-TAG,46.75,22.0,34.0,7.0,36.75,29.5,33.0,53.0,,Brown,WWT210009,Brown,Weathered Wood,
OP2023-BK-TAG,55.75,22.0,34.0,7.0,36.75,29.5,33.0,63.0,,Black,WWT210024,Black,Black,
OP2023-DB-TAG,55.75,22.0,34.0,7.0,36.75,29.5,33.0,63.0,,Brown,WWT210025,Brown,Dark Brown,
OP2023-GY-TAG,55.75,22.0,34.0,7.0,36.75,29.5,33.0,63.0,,Gray,WWT210027,Gray,Gray,
OP2023-NB-TAG,55.75,22.0,34.0,7.0,36.75,29.5,33.0,63.0,,Blue,WWT210029,Blue,Navy Blue,
OP2023-TQ-TAG,55.75,22.0,34.0,7.0,36.75,29.5,33.0,63.0,,Blue,WWT210035,Blue,Turquoise,
